id,url,title,lead_paragraph,category,publish_datetime,source,thumbnail_url,label,title_segmented,lead_segmented,title_cleaned,lead_cleaned
article_1819,https://thanhnien.vn/my-sap-cap-lai-lich-phong-van-visa-du-hoc-tai-viet-nam-sau-khi-tam-dung-185250620205332086.htm,Mỹ sắp cấp lại lịch phỏng vấn visa cho du học sinh Việt Nam,"Thông tin được chia sẻ bởi Phái đoàn Ngoại giao Mỹ tại Việt Nam, hai ngày sau khi Mỹ thông báo sẽ nối lại hoạt động phỏng vấn cấp visa du học sau hơn 3 tuần đình chỉ.",Giáo dục & Học đường,2025-06-20T21:00:00+07:00,Thanh Niên,data/images/article_1819_image.png,non-clickbait,Mỹ sắp cấp lại lịch phỏng_vấn visa cho du_học_sinh Việt_Nam,"Thông_tin được chia_sẻ bởi Phái_đoàn Ngoại_giao Mỹ tại Việt_Nam , hai ngày sau khi Mỹ thông_báo sẽ nối lại hoạt_động phỏng_vấn cấp visa du_học sau hơn 3 tuần đình_chỉ .",Mỹ sắp cấp lại lịch phỏng vấn visa cho du học sinh Việt Nam,"Thông tin được chia sẻ bởi Phái đoàn Ngoại giao Mỹ tại Việt Nam, hai ngày sau khi Mỹ thông báo sẽ nối lại hoạt động phỏng vấn cấp visa du học sau hơn 3 tuần đình chỉ."
article_0190,https://www.24h.com.vn/tin-tuc-trong-ngay/ha-noi-chuyen-co-quan-cong-an-4-vu-viec-ve-vi-pham-hang-hoa-tai-thu-phu-banh-keo-gia-cong-la-phu-c46a1674915.html,Hà Nội: Chuyển cơ quan công an 4 vụ việc về vi phạm hàng hóa tại thủ phủ bánh kẹo gia công La Phù,"Ngày 22/6, Chi cục QLTT TP Hà Nội cho biết, 4 vụ việc liên quan đến hàng hóa tại xã La Phù (huyện Hoài Đức) được chuyển đến cơ quan công an để tiếp tục điều tra, xử lý theo quy định trong giai đoạn từ năm 2023 đến hết ngày 15/6/2025.",Tin tức tổng hợp,2025-06-23T07:46:55+07:00,24h,data/images/article_0190_image.png,non-clickbait,Hà_Nội : Chuyển cơ_quan công_an 4 vụ_việc về vi_phạm hàng hóa tại thủ_phủ bánh_kẹo gia_công_La Phù,"Ngày 22/6 , Chi_cục QLTT TP Hà_Nội cho biết , 4 vụ_việc liên_quan đến hàng hóa tại xã La_Phù ( huyện Hoài_Đức ) được chuyển đến cơ_quan công_an để tiếp_tục điều_tra , xử_lý theo quy_định trong giai_đoạn từ năm 2023 đến hết ngày 15/6/2025 .",Hà Nội: Chuyển cơ quan công an 4 vụ việc về vi phạm hàng hóa tại thủ phủ bánh kẹo gia công La Phù,"Ngày 22/6, Chi cục QLTT TP Hà Nội cho biết, 4 vụ việc liên quan đến hàng hóa tại xã La Phù (huyện Hoài Đức) được chuyển đến cơ quan công an để tiếp tục điều tra, xử lý theo quy định trong giai đoạn từ năm 2023 đến hết ngày 15/6/2025."
article_1715,https://vnexpress.net/juventus-4-1-wydad-4904857.html,Juventus 4-1 Wydad,Bàn phản lưới từ sớm giúp Juventus thắng dễ đại diện Morocco ở lượt hai bảng G FIFA Club World Cup 2025.,Thể thao,2025-06-23T05:40:00+07:00,VnExpress,data/images/article_1715_image.png,non-clickbait,Juventus 4-1 Wydad,Bàn phản_lưới từ sớm giúp Juventus_thắng dễ đại_diện Morocco ở lượt hai bảng G FIFA Club World_Cup 2025 .,Juventus 4-1 Wydad,Bàn phản lưới từ sớm giúp Juventus thắng dễ đại diện Morocco ở lượt hai bảng G FIFA Club World Cup 2025.
article_2511,https://vnexpress.net/sinh-vien-truyen-thong-nhan-luong-thang-9-17-trieu-dong-sau-tot-nghiep-4898321.html,Sinh viên truyền thông nhận lương tháng 9-17 triệu đồng sau tốt nghiệp,"Lương của sinh viên ngành truyền thông mới ra trường phổ biến ở mức 9-17 triệu đồng một tháng, cao là 30 triệu đồng, theo một số giảng viên.",Other,2025-06-20T15:27:00+07:00,VnExpress,data/images/article_2511_image.png,non-clickbait,Sinh_viên truyền_thông nhận lương tháng 9-17 triệu đồng sau tốt_nghiệp,"Lương của sinh_viên ngành truyền_thông mới ra trường phổ_biến ở mức 9-17 triệu đồng một tháng , cao là 30 triệu đồng , theo một_số giảng_viên .",Sinh viên truyền thông nhận lương tháng 9-17 triệu đồng sau tốt nghiệp,"Lương của sinh viên ngành truyền thông mới ra trường phổ biến ở mức 9-17 triệu đồng một tháng, cao là 30 triệu đồng, theo một số giảng viên."
article_3230,https://www.24h.com.vn/giai-tri/truong-giang-bi-tran-thanh-thay-the-o-running-man-phien-ban-viet-vi-ly-do-gi-c731a1671810.html,Trường Giang bị Trấn Thành thay thế ở Running Man phiên bản Việt vì lý do gì?,"Trường Giang mới đây đã không còn ở vị trí MC chính của chương trình “Running Man“, thay vào đó là MC Trấn Thành. Nhiều người tò mò nguyên nhân MC quê Quảng Nam bị đồng nghiệp thay thế.",Giải trí & Showbiz,2025-06-11T14:23:05+07:00,24h,data/images/article_3230_image.png,clickbait,Trường_Giang bị Trấn_Thành thay_thế ở Running_Man phiên_bản Việt vì lý_do gì ?,"Trường_Giang mới_đây đã không còn ở vị_trí MC_chính của chương_trình “ Running_Man “ , thay vào đó là MC Trấn_Thành . Nhiều người tò_mò nguyên_nhân MC_quê Quảng_Nam bị đồng_nghiệp thay_thế .",Trường Giang bị Trấn Thành thay thế ở Running Man phiên bản Việt vì lý do gì?,"Trường Giang mới đây đã không còn ở vị trí MC chính của chương trình “Running Man“, thay vào đó là MC Trấn Thành. Nhiều người tò mò nguyên nhân MC quê Quảng Nam bị đồng nghiệp thay thế."
article_1325,https://baomoi.com/gia-tri-hang-hoa-tu-cay-nghe-bac-kan-c52573081.epi,Giá trị hàng hóa từ cây nghệ Bắc Kạn - Tạp chí Công thương,"Trồng nghệ hiện là hướng phát triển kinh tế bền vững của nhiều hộ dân tại tỉnh Bắc Kạn, nhất là sự liên kết của người dân với doanh nghiệp đã tạo ra lượng hàng hóa lớn đáp ứng nhu cầu thị trường.",Other,2025-06-23T08:05:00.000Z,Báo Mới,data/images/article_1325_image.png,non-clickbait,Giá_trị hàng hóa từ cây_nghệ Bắc_Kạn - Tạp_chí Công_thương,"Trồng_nghệ hiện là hướng phát_triển kinh_tế bền_vững của nhiều hộ dân tại tỉnh Bắc_Kạn , nhất_là sự liên_kết của người_dân với doanh_nghiệp đã tạo ra lượng hàng hóa lớn đáp_ứng nhu_cầu thị_trường .",Giá trị hàng hóa từ cây nghệ Bắc Kạn - Tạp chí Công thương,"Trồng nghệ hiện là hướng phát triển kinh tế bền vững của nhiều hộ dân tại tỉnh Bắc Kạn, nhất là sự liên kết của người dân với doanh nghiệp đã tạo ra lượng hàng hóa lớn đáp ứng nhu cầu thị trường."
article_0995,https://www.saostar.vn/am-nhac/g-dragon-doi-non-la-lo-dien-tai-san-my-dinh-202506211602436358.html,G-Dragon kết show gây hụt hẫng,Đêm nhạc có sự xuất hiện của G-Dragon đang đếm ngược từng giờ!,Giải trí & Showbiz,2025-06-21T21:48:11.303+07:00,SaoStar,data/images/article_0995_image.png,clickbait,G-Dragon kết show gây hụt_hẫng,Đêm nhạc có sự xuất_hiện của G-Dragon đang đếm ngược từng giờ !,G-Dragon kết show gây hụt hẫng,Đêm nhạc có sự xuất hiện của G-Dragon đang đếm ngược từng giờ!
article_3037,https://vnexpress.net/xe-dau-keo-huc-vo-tru-cuu-hoa-nuoc-phun-cao-chuc-met-4904121.html,"Xe đầu kéo húc vỡ trụ cứu hỏa, nước phun cao chục mét",Trung QuốcNgười đàn ông ra hiệu dừng lại nhưng dường như tài xế không nhìn thấy khiến chiếc xe húc trúng trụ cứu hỏa.,Other,2025-06-21T06:00:00+07:00,VnExpress,data/images/article_3037_image.png,non-clickbait,"Xe đầu kéo húc vỡ trụ cứu hỏa , nước phun cao_chục mét",Trung_QuốcNgười đàn_ông ra_hiệu dừng lại nhưng dường_như tài_xế không nhìn thấy khiến chiếc xe húc trúng trụ cứu hỏa .,"Xe đầu kéo húc vỡ trụ cứu hỏa, nước phun cao chục mét",Trung QuốcNgười đàn ông ra hiệu dừng lại nhưng dường như tài xế không nhìn thấy khiến chiếc xe húc trúng trụ cứu hỏa.
article_0089,https://thanhnien.vn/thu-tuong-sua-luat-thuong-mai-dien-tu-de-siet-hang-gia-hang-nhai-185250617214148292.htm,"Thủ tướng: Sửa luật Thương mại điện tử để 'siết' hàng giả, hàng nhái","Thủ tướng nhấn mạnh, việc sửa luật Thương mại điện tử phải xử lý được những mặt trái, tiêu cực, phòng chống hàng giả, hàng nhái, buôn lậu, đồng thời phải phù hợp với các hộ kinh doanh, doanh nghiệp nhỏ, siêu nhỏ.",Chính trị & An ninh,2025-06-17T22:07:00+07:00,Thanh Niên,data/images/article_0089_image.png,non-clickbait,"Thủ_tướng : Sửa_luật Thương_mại_điện_tử để ' siết ' hàng giả , hàng nhái","Thủ_tướng nhấn_mạnh , việc sửa_luật Thương_mại_điện_tử phải xử_lý được những mặt_trái , tiêu_cực , phòng_chống hàng giả , hàng nhái , buôn_lậu , đồng_thời phải phù_hợp với các hộ kinh_doanh , doanh_nghiệp nhỏ , siêu nhỏ .","Thủ tướng: Sửa luật Thương mại điện tử để 'siết' hàng giả, hàng nhái","Thủ tướng nhấn mạnh, việc sửa luật Thương mại điện tử phải xử lý được những mặt trái, tiêu cực, phòng chống hàng giả, hàng nhái, buôn lậu, đồng thời phải phù hợp với các hộ kinh doanh, doanh nghiệp nhỏ, siêu nhỏ."
article_3497,https://baomoi.com/dong-ho-hon-19-000-usd-chua-cat-o-tat-ca-tieu-vuong-quoc-thuoc-uae-c52569867.epi,Đồng hồ hơn 19.000 USD chứa cát ở tất cả tiểu vương quốc thuộc UAE - Tạp chí Tri thức,Cỗ máy mới của Ressence gây chú ý khi mặt số được làm từ cát thật lấy từ Các Tiểu vương quốc Arab Thống nhất (UAE).,Xe & Vận tải,2025-06-23T02:10:35.000Z,Báo Mới,data/images/article_3497_image.png,non-clickbait,Đồng_hồ hơn 19.000 USD chứa cát ở tất_cả tiểu_vương_quốc thuộc UAE - Tạp_chí Tri_thức,Cỗ máy mới của Ressence gây chú_ý khi mặt số được làm từ cát thật lấy từ Các Tiểu_vương_quốc Arab Thống_nhất ( UAE ) .,Đồng hồ hơn 19.000 USD chứa cát ở tất cả tiểu vương quốc thuộc UAE - Tạp chí Tri thức,Cỗ máy mới của Ressence gây chú ý khi mặt số được làm từ cát thật lấy từ Các Tiểu vương quốc Arab Thống nhất (UAE).
